director_name,ceremony,year,category,outcome,original_language
Francesco Bruni,Golden Ciak Awards,2012.0,Golden Ciak,Nominated,it
Jon Stewart,Primetime Emmy Awards,2011.0,Primetime Emmy,Nominated,en
Laura Betti,Viareggio EuropaCinema,2000.0,Platinum Award for Cinematic Excellence,Won,en
Simon Edelstein,Mystfest,1980.0,Best Film,Nominated,fr
Éric Rohmer,Venice Film Festival,1986.0,Golden Lion,Won,fr
Shahrbanoo Sadat,Minneapolis St. Paul International Film Festival,2017.0,Emerging Filmmaker Award,Nominated,da
Christine Carrière,"César Awards, France",2008.0,César,Nominated,fr
Aristotelis Maragkos,Annecy International Animated Film Festival,2015.0,Cristal,Nominated,en
Stein Leikanger,AFI Fest,2000.0,Grand Jury Prize,Nominated,en
Hella Joof,Robert Festival,2017.0,Robert,Nominated,da
Daniel Junge,Dallas International Film Festival,2007.0,Grand Jury Prize,Won,en
Peter Hyams,Fantasporto,1997.0,International Fantasy Film Award,Nominated,en
Alfonso Cuarón,Hugo Awards,2005.0,Hugo,Nominated,en
Sharon Maymon,Sarlat International Cinema Festival,2009.0,Prix Aquitaine,Won,de
Peter Jackson,Chicago Film Critics Association Awards,2003.0,CFCA Award,Nominated,en
Robert Benton,"Golden Globes, USA",1980.0,Golden Globe,Won,en
Thomas Wangsmo,Minimalen,2010.0,Festival Prize,Nominated,en
Kyle Balda,BAFTA Awards,2016.0,BAFTA Film Award,Nominated,en
Stéphanie Anne Weber Biron,Genie Awards,2011.0,Genie,Nominated,en
Joan Long,Australian Film Institute,1977.0,AFI Award,Nominated,en
Tom Hanks,AARP Movies for Grownups Awards,2008.0,Movies for Grownups Award,Nominated,en
Ricardo Darín,San Sebastián International Film Festival,2015.0,Silver Seashell,Won,es
Luchino Visconti,New York Film Critics Circle Awards,1969.0,NYFCC Award,2nd place,it
Michael Haneke,International Online Cinema Awards (INOCA),2013.0,INOCA,Nominated,de
Umut Dag,FEST New Directors/New Films Festival,2014.0,Audience Award,Won,de
David Maysles,Primetime Emmy Awards,1987.0,Primetime Emmy,Won,en
Kristjan Thor,Cinequest San Jose Film Festival,2015.0,New Vision Award,Won,en
Bradley Cooper,Jupiter Award,2016.0,Jupiter Award,Nominated,en
Robert Snyder,"Academy Awards, USA",1951.0,Oscar,Won,en
Jag Mundhra,Screen Weekly Awards,2002.0,Screen,Nominated,en
Brillante Mendoza,Gawad Urian Awards,2008.0,Gawad Urian Award,Nominated,en
Edoardo de Angelis,Bimbi Belli Festival,2012.0,Best Film,Nominated,it
Richard Dembo,"César Awards, France",1985.0,César,Won,fr
Aku Louhimies,Jussi Awards,2013.0,Jussi,Nominated,fi
Iberê Carvalho,Gramado Film Festival,2015.0,Kikito Critics Prize,Won,pt
Haifaa Al-Mansour,Guild of German Art House Cinemas,2013.0,Guild Film Award - Gold,Won,en
Charlton Heston,Fotogramas de Plata,1960.0,Fotogramas de Plata,Won,en
Lina Wertmüller,New York Film Critics Circle Awards,1975.0,NYFCC Award,3rd place,it
Yeşim Ustaoğlu,CPH PIX,2016.0,Politiken's Audience Award,Nominated,tr
John Eastway,Australian Film Institute,2000.0,AFI Award,Won,en
Alejandro Suárez Lozano,Nocturna Madrid International Fantastic Film Festival,2015.0,SHOTS Audience Award Best Spanish Short Film,Won,en
Jilani Saadi,San Sebastián International Film Festival,2005.0,Cinema in Motion Award,Won,en
Nevil Dwek,Stony Brook Film Festival,2003.0,Best Feature,Won,en
Po-Chih Leong,Chicago International Film Festival,1991.0,Gold Hugo,Nominated,en
