director_name,ceremony,year,category,outcome,original_language
Arthur Dong,L.A. Outfest,1994.0,Audience Award,Won,en
Hape Kerkeling,"Golden Camera, Germany",2012.0,Audience Camera,Won,de
Michael Keaton,Online Film & Television Association,2015.0,OFTA Film Award,Won,en
Mariam Jobrani,Nashville Film Festival,2007.0,Best Documentary Short,Won,en
Michael Samuels,"Royal Television Society, UK",2011.0,RTS Television Award,Nominated,en
Michael Cuesta,"Directors Guild of America, USA",2013.0,DGA Award,Nominated,en
Panos Karkanevatos,Thessaloniki Film Festival,1994.0,Greek Competition Award,Won,el
Paolo Taviani,Flaiano International Prizes,1991.0,Career Award,Won,it
Nimród Antal,Grammy Awards,2015.0,Grammy,Nominated,en
Jean Renoir,"Academy Awards, USA",1946.0,Oscar,Nominated,fr
Sandrine Bonnaire,"National Society of Film Critics Awards, USA",1987.0,NSFC Award,2nd place,en
Eli Roth,Gold Derby Awards,2010.0,Gold Derby Award,Won,en
Ivan Cardoso,Gramado Film Festival,1990.0,Golden Kikito,Nominated,pt
Christian-Jaque,Berlin International Film Festival,1958.0,Golden Berlin Bear,Nominated,fr
Carlo Guillermo Proto,Guangzhou International Documentary Film Festival (GZDOC),2012.0,Festival Prize,Nominated,en
Sergei Dvortsevoy,Krakow Film Festival,1996.0,Golden Dragon,Won,ru
Fernanda Chicolet,Vitória Cine Vídeo,2012.0,Special Jury Award,Won,pt
Paul Thomas Anderson,Gijón International Film Festival,2002.0,Best Screenplay,Won,en
Juan Antonio de la Riva,"Ariel Awards, Mexico",1985.0,Golden Ariel,Nominated,es
Luc Dardenne,Traverse City Film Festival,2015.0,Founders Prize,Won,en
Marko Šantić,Warsaw International Film Festival,2013.0,Competition 1-2 Award - Special Mention,Won,en
Achero Mañas,ADIRCAE Awards,2001.0,ADIRCAE Award,Won,en
Pat Williams,"Canadian Screen Awards, CA",2015.0,Canadian Screen Award,Nominated,en
Alberto Arce,Cinéma du Réel,2010.0,RED-Vectracom Award,Won,en
Russ Emanuel,Telly Awards,2006.0,Bronze Telly,3rd place,en
Kim Rossi Stuart,Seville European Film Festival,2006.0,SIGNIS Award - Special Mention,Won,en
Tony Krawitz,Australian Film Institute,2005.0,AFI Award,Won,en
Ivano De Matteo,Golden Graals,2013.0,Golden Graal,Nominated,it
Mohsen Amiryousefi,Mar del Plata Film Festival,2005.0,Special Jury Award,Won,en
Morgan Freeman,Blockbuster Entertainment Awards,1999.0,Blockbuster Entertainment Award,Nominated,en
Dominga Sotomayor Castillo,IndieLisboa International Independent Film Festival,2012.0,Grand Prize City of Lisbon,Won,en
Blaine Thurier,SXSW Film Festival,2001.0,SXSW Competition Award,Won,en
Dušan Hanák,Karlovy Vary International Film Festival,2008.0,Special Prize for Outstanding Contribution to World Cinema,Won,en
Julian Farino,BAFTA Awards,2015.0,BAFTA TV Award,Won,en
Justin Molotnikov,Edmonton International Film Festival,2010.0,Grand Jury Award,Won,en
Ruben Fleischer,Rondo Hatton Classic Horror Awards,2009.0,Rondo Statuette,2nd place,en
Kirsten Dunst,Cannes Film Festival,2011.0,Best Actress,Won,en
Natalia Bruschtein,Mar del Plata Film Festival,2015.0,Best Latin-American Film,Nominated,es
Vincent Paronnaud,Indiewire Critics' Poll,2007.0,ICP Award,Nominated,fr
Hana Jušić,FEST International Film Festival,2017.0,Belgrade Victor,Won,hr
Michael Wahrmann,Lume International Film Festival,2012.0,Jury Award,Nominated,en
Anil Sunkara,Filmfare Awards South,2012.0,Filmfare Award - Telugu Film Industry,Won,te
Tito Davison,"Ariel Awards, Mexico",1958.0,Silver Ariel,Won,es
Jean-Pierre Melville,Venice Film Festival,1961.0,Award of the City of Venice,Won,fr
Jared Hess,Film Independent Spirit Awards,2005.0,Independent Spirit Award,Nominated,en
Danny Boyle,Washington DC Area Film Critics Association Awards,2008.0,WAFCA Award,Won,en
Elizabeth Banks,Primetime Emmy Awards,2012.0,Primetime Emmy,Nominated,en
María Alché,Iquique International Film Festival,2013.0,Special Mention,Won,en
Sara Johnsen,Brussels European Film Festival,2005.0,Golden Iris,Nominated,en
Ulrich Mühe,German Television Awards,1999.0,German Television Award,Nominated,de
Mark Burson,West Virginia Filmmakers Film Festival,2007.0,Festival Award,Won,en
David Tennant,Satellite Awards,2008.0,Satellite Award,Nominated,en
Adriaan Ditvoorst,Fantasporto,1982.0,International Fantasy Film Award,Nominated,nl
Erik Gandini,Chicago International Film Festival,2009.0,Gold Hugo,Nominated,en
